#    X	    Y	        Z	    Amplitude
1484.000	-1082.000	2639.000	475
1484.000	-1082.000	2639.000	475
1477.000	-1083.000	2642.000	475
1465.000	-1081.000	2636.000	496
1461.000	-1084.000	2645.000	483
1454.000	-1086.000	2648.000	483
1446.000	-1086.000	2648.000	517
1434.000	-1083.000	2641.000	528
1426.000	-1084.000	2643.000	557
1419.000	-1085.000	2646.000	557
1419.000	-1091.000	2661.000	505
1396.000	-1080.000	2635.000	515
1389.000	-1082.000	2638.000	515
1380.000	-1082.000	2638.000	490
1373.000	-1082.000	2640.000	592
1370.000	-1087.000	2651.000	577
